"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","Operating-System-Hotfix","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Operating-System-Hotfix,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-SimplePolicyTemplate","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-SimplePolicyTemplate,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-Som","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-Som,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Frs-Computer-Reference","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=Frs-Computer-Reference,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-SourceOrganization","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-SourceOrganization,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-stringDefault","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-stringDefault,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-StringSetParam","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-StringSetParam,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Frs-Computer-Reference-BL","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=Frs-Computer-Reference-BL,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-stringValidValues","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-stringValidValues,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-TargetClass","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-TargetClass,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","FRS-Control-Data-Creation","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=FRS-Control-Data-Creation,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-TargetNameSpace","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-TargetNameSpace,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Operating-System-Service-Pack","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Operating-System-Service-Pack,CN=Schema,CN=Configuration,DC=LAB,DC=local"
